price,quantity,type,time,currency
97874000,0.005,bids,2024-04-06 20:37:16.001027,BTC
97869000,0.0348,bids,2024-04-06 20:37:16.001027,BTC
97866000,0.0371,bids,2024-04-06 20:37:16.001027,BTC
97863000,0.0451,bids,2024-04-06 20:37:16.001027,BTC
97860000,0.0172,bids,2024-04-06 20:37:16.001027,BTC
97898000,0.0428,asks,2024-04-06 20:37:16.001027,BTC
97900000,0.0009,asks,2024-04-06 20:37:16.001027,BTC
97901000,0.1362,asks,2024-04-06 20:37:16.001027,BTC
97903000,0.0002,asks,2024-04-06 20:37:16.001027,BTC
97908000,0.0605,asks,2024-04-06 20:37:16.001027,BTC
97874000,0.005,bids,2024-04-06 20:37:17.001452,BTC
97869000,0.0348,bids,2024-04-06 20:37:17.001452,BTC
97866000,0.0371,bids,2024-04-06 20:37:17.001452,BTC
97863000,0.0451,bids,2024-04-06 20:37:17.001452,BTC
97860000,0.0173,bids,2024-04-06 20:37:17.001452,BTC
97898000,0.0428,asks,2024-04-06 20:37:17.001452,BTC
97900000,0.0009,asks,2024-04-06 20:37:17.001452,BTC
97901000,0.1362,asks,2024-04-06 20:37:17.001452,BTC
97903000,0.0002,asks,2024-04-06 20:37:17.001452,BTC
97908000,0.0605,asks,2024-04-06 20:37:17.001452,BTC
97874000,0.005,bids,2024-04-06 20:37:18.001792,BTC
97869000,0.0348,bids,2024-04-06 20:37:18.001792,BTC
97866000,0.0371,bids,2024-04-06 20:37:18.001792,BTC
97863000,0.0451,bids,2024-04-06 20:37:18.001792,BTC
97860000,0.0173,bids,2024-04-06 20:37:18.001792,BTC
97898000,0.0428,asks,2024-04-06 20:37:18.001792,BTC
97900000,0.0009,asks,2024-04-06 20:37:18.001792,BTC
97901000,0.1362,asks,2024-04-06 20:37:18.001792,BTC
97903000,0.0002,asks,2024-04-06 20:37:18.001792,BTC
97908000,0.0605,asks,2024-04-06 20:37:18.001792,BTC
97874000,0.0001,bids,2024-04-06 20:37:19.001947,BTC
97869000,0.0168,bids,2024-04-06 20:37:19.001947,BTC
97863000,0.0223,bids,2024-04-06 20:37:19.001947,BTC
97862000,0.0071,bids,2024-04-06 20:37:19.001947,BTC
97855000,0.1023,bids,2024-04-06 20:37:19.001947,BTC
97898000,0.0428,asks,2024-04-06 20:37:19.001947,BTC
97900000,0.0009,asks,2024-04-06 20:37:19.001947,BTC
97901000,0.0002,asks,2024-04-06 20:37:19.001947,BTC
97903000,0.0002,asks,2024-04-06 20:37:19.001947,BTC
97908000,0.0605,asks,2024-04-06 20:37:19.001947,BTC
97877000,0.0049,bids,2024-04-06 20:37:20.002211,BTC
97874000,0.0272,bids,2024-04-06 20:37:20.002211,BTC
97872000,0.0348,bids,2024-04-06 20:37:20.002211,BTC
97869000,0.0371,bids,2024-04-06 20:37:20.002211,BTC
97865000,0.0228,bids,2024-04-06 20:37:20.002211,BTC
97898000,0.0377,asks,2024-04-06 20:37:20.002211,BTC
97900000,0.0009,asks,2024-04-06 20:37:20.002211,BTC
97901000,0.0002,asks,2024-04-06 20:37:20.002211,BTC
97903000,0.0002,asks,2024-04-06 20:37:20.002211,BTC
97908000,0.0605,asks,2024-04-06 20:37:20.002211,BTC
97874000,0.0238,bids,2024-04-06 20:37:21.002584,BTC
97872000,0.0348,bids,2024-04-06 20:37:21.002584,BTC
97869000,0.0371,bids,2024-04-06 20:37:21.002584,BTC
97866000,0.0223,bids,2024-04-06 20:37:21.002584,BTC
97865000,0.0228,bids,2024-04-06 20:37:21.002584,BTC
97898000,0.0378,asks,2024-04-06 20:37:21.002584,BTC
97900000,0.0009,asks,2024-04-06 20:37:21.002584,BTC
97901000,0.0002,asks,2024-04-06 20:37:21.002584,BTC
97903000,0.0002,asks,2024-04-06 20:37:21.002584,BTC
97908000,0.0605,asks,2024-04-06 20:37:21.002584,BTC
97874000,0.0238,bids,2024-04-06 20:37:22.002863,BTC
97872000,0.0348,bids,2024-04-06 20:37:22.002863,BTC
97869000,0.0371,bids,2024-04-06 20:37:22.002863,BTC
97866000,0.0223,bids,2024-04-06 20:37:22.002863,BTC
97865000,0.0228,bids,2024-04-06 20:37:22.002863,BTC
97898000,0.0378,asks,2024-04-06 20:37:22.002863,BTC
97900000,0.0009,asks,2024-04-06 20:37:22.002863,BTC
97901000,0.0002,asks,2024-04-06 20:37:22.002863,BTC
97903000,0.0002,asks,2024-04-06 20:37:22.002863,BTC
97908000,0.0605,asks,2024-04-06 20:37:22.002863,BTC
97874000,0.0238,bids,2024-04-06 20:37:23.003165,BTC
97872000,0.062,bids,2024-04-06 20:37:23.003165,BTC
97869000,0.0371,bids,2024-04-06 20:37:23.003165,BTC
97866000,0.0223,bids,2024-04-06 20:37:23.003165,BTC
97865000,0.0228,bids,2024-04-06 20:37:23.003165,BTC
97898000,0.0378,asks,2024-04-06 20:37:23.003165,BTC
97900000,0.0009,asks,2024-04-06 20:37:23.003165,BTC
97901000,0.0002,asks,2024-04-06 20:37:23.003165,BTC
97903000,0.0002,asks,2024-04-06 20:37:23.003165,BTC
97908000,0.0605,asks,2024-04-06 20:37:23.003165,BTC
97874000,0.0238,bids,2024-04-06 20:37:24.003379,BTC
97872000,0.062,bids,2024-04-06 20:37:24.003379,BTC
97869000,0.0371,bids,2024-04-06 20:37:24.003379,BTC
97866000,0.0223,bids,2024-04-06 20:37:24.003379,BTC
97865000,0.0228,bids,2024-04-06 20:37:24.003379,BTC
97898000,0.0378,asks,2024-04-06 20:37:24.003379,BTC
97900000,0.0009,asks,2024-04-06 20:37:24.003379,BTC
97901000,0.0002,asks,2024-04-06 20:37:24.003379,BTC
97903000,0.0002,asks,2024-04-06 20:37:24.003379,BTC
97908000,0.0605,asks,2024-04-06 20:37:24.003379,BTC
97874000,0.0238,bids,2024-04-06 20:37:25.003536,BTC
97872000,0.062,bids,2024-04-06 20:37:25.003536,BTC
97869000,0.0371,bids,2024-04-06 20:37:25.003536,BTC
97866000,0.0223,bids,2024-04-06 20:37:25.003536,BTC
97865000,0.0228,bids,2024-04-06 20:37:25.003536,BTC
97898000,0.0378,asks,2024-04-06 20:37:25.003536,BTC
97900000,0.0009,asks,2024-04-06 20:37:25.003536,BTC
97901000,0.0002,asks,2024-04-06 20:37:25.003536,BTC
97903000,0.0002,asks,2024-04-06 20:37:25.003536,BTC
97908000,0.0605,asks,2024-04-06 20:37:25.003536,BTC
97874000,0.0238,bids,2024-04-06 20:37:26.003540,BTC
97872000,0.062,bids,2024-04-06 20:37:26.003540,BTC
97869000,0.0643,bids,2024-04-06 20:37:26.003540,BTC
97866000,0.0223,bids,2024-04-06 20:37:26.003540,BTC
97865000,0.0228,bids,2024-04-06 20:37:26.003540,BTC
97898000,0.0377,asks,2024-04-06 20:37:26.003540,BTC
97900000,0.0009,asks,2024-04-06 20:37:26.003540,BTC
97901000,0.0002,asks,2024-04-06 20:37:26.003540,BTC
97903000,0.0002,asks,2024-04-06 20:37:26.003540,BTC
97908000,0.0605,asks,2024-04-06 20:37:26.003540,BTC
97874000,0.0238,bids,2024-04-06 20:37:27.003608,BTC
97872000,0.062,bids,2024-04-06 20:37:27.003608,BTC
97869000,0.0441,bids,2024-04-06 20:37:27.003608,BTC
97865000,0.0228,bids,2024-04-06 20:37:27.003608,BTC
97862000,0.0173,bids,2024-04-06 20:37:27.003608,BTC
97898000,0.0377,asks,2024-04-06 20:37:27.003608,BTC
97900000,0.0009,asks,2024-04-06 20:37:27.003608,BTC
97901000,0.0002,asks,2024-04-06 20:37:27.003608,BTC
97903000,0.0002,asks,2024-04-06 20:37:27.003608,BTC
97908000,0.0605,asks,2024-04-06 20:37:27.003608,BTC
97879000,0.0348,bids,2024-04-06 20:37:28.003860,BTC
97876000,0.0371,bids,2024-04-06 20:37:28.003860,BTC
97874000,0.0238,bids,2024-04-06 20:37:28.003860,BTC
97873000,0.0451,bids,2024-04-06 20:37:28.003860,BTC
97872000,0.0272,bids,2024-04-06 20:37:28.003860,BTC
97898000,0.0377,asks,2024-04-06 20:37:28.003860,BTC
97900000,0.0009,asks,2024-04-06 20:37:28.003860,BTC
97901000,0.0002,asks,2024-04-06 20:37:28.003860,BTC
97903000,0.0002,asks,2024-04-06 20:37:28.003860,BTC
97908000,0.0605,asks,2024-04-06 20:37:28.003860,BTC
97879000,0.0348,bids,2024-04-06 20:37:29.003987,BTC
97876000,0.0371,bids,2024-04-06 20:37:29.003987,BTC
97874000,0.0238,bids,2024-04-06 20:37:29.003987,BTC
97873000,0.0451,bids,2024-04-06 20:37:29.003987,BTC
97872000,0.0272,bids,2024-04-06 20:37:29.003987,BTC
97898000,0.0377,asks,2024-04-06 20:37:29.003987,BTC
97900000,0.0009,asks,2024-04-06 20:37:29.003987,BTC
97901000,0.0002,asks,2024-04-06 20:37:29.003987,BTC
97903000,0.0002,asks,2024-04-06 20:37:29.003987,BTC
97908000,0.0605,asks,2024-04-06 20:37:29.003987,BTC
97879000,0.0348,bids,2024-04-06 20:37:30.004345,BTC
97876000,0.0371,bids,2024-04-06 20:37:30.004345,BTC
97874000,0.0238,bids,2024-04-06 20:37:30.004345,BTC
97873000,0.0451,bids,2024-04-06 20:37:30.004345,BTC
97872000,0.0272,bids,2024-04-06 20:37:30.004345,BTC
97898000,0.0377,asks,2024-04-06 20:37:30.004345,BTC
97900000,0.0009,asks,2024-04-06 20:37:30.004345,BTC
97901000,0.0002,asks,2024-04-06 20:37:30.004345,BTC
97903000,0.0002,asks,2024-04-06 20:37:30.004345,BTC
97908000,0.0605,asks,2024-04-06 20:37:30.004345,BTC
